Airlines,Destinations,Refs
Air Canada,Toronto–Pearson  Seasonal: Montréal–Trudeau,[78]
Air Canada Express,Vancouver,[79]
Alaska Airlines,"Atlanta (begins May 16, 2024),[80] Austin, Boise, Boston, Eugene,[81] Everett, Fresno, Honolulu, Kahului, Kailua-Kona, Lihue, Monterey, Newark, New York–JFK, Orlando, Portland (OR), Puerto Vallarta, Redmond/Bend, Sacramento, San Francisco, San Jose (CA), San José del Cabo, San Luis Obispo, Santa Rosa, Seattle/Tacoma, Spokane, Tampa, Washington–Dulles[81] Seasonal: Anchorage (begins May 17, 2024),[82] Bozeman, Cancún,  Fort Lauderdale, Glacier Park/Kalispell, Hayden/Steamboat Springs, Ixtapa/Zihuatanejo,[83] Jackson Hole, Missoula, Salt Lake City",[84]
Allegiant Air,"Provo Seasonal: Bellingham, Des Moines, Medford",[85]
American Airlines,"Charlotte, Chicago–O'Hare, Dallas/Fort Worth, Miami, Philadelphia, Phoenix–Sky Harbor",[86]
Breeze Airways,"Cincinnati (begins May 2, 2024),[87] Jacksonville (FL), Norfolk (both begin May 1, 2024),[87] Raleigh/Durham (begins April 30, 2024)[87]Seasonal: Pittsburgh (begins May 3, 2024)[88]",[89]
British Airways,London–Heathrow,[90]
Delta AirLines,"Atlanta, Boston, Detroit, Minneapolis/St. Paul, New York–JFK, Salt Lake City, Seattle/Tacoma",[91]
Delta Connection,"Las Vegas, Los Angeles",[91]
Frontier Airlines,"Dallas/Fort Worth, Denver, El Paso (begins May 16, 2024), Las Vegas,  Phoenix–Sky Harbor, San Francisco (begins April 10, 2024)[92] Seasonal: Atlanta, Orlando",[93]
Hawaiian Airlines,"Honolulu, Kahului",[94]
Japan Airlines,Tokyo–Narita,[95]
JetBlue,"Boston, Fort Lauderdale, New York–JFK",[96]
Lufthansa,Munich,[97]
Southwest Airlines,"Albuquerque, Atlanta, Austin, Baltimore, Chicago–Midway, Dallas–Love, Denver, El Paso, Honolulu, Houston–Hobby, Kansas City, Las Vegas, Nashville, New Orleans, Oakland, Phoenix–Sky Harbor, Portland (OR), Reno/Tahoe, Sacramento, Salt Lake City, San Antonio, San Francisco, San Jose (CA), San José del Cabo, St. Louis, Tucson  Seasonal: Boise, Colorado Springs, Columbus–Glenn (resumes June 8, 2024),[98] Indianapolis, Milwaukee (resumes June 8, 2024),[98] Pittsburgh (resumes June 8, 2024),[98] Tampa (resumes June 8, 2024)[98]",[99]
Spirit Airlines,"Baltimore (begins May 9, 2024),[100] Las Vegas, Oakland, Sacramento (begins April 5, 2024),[101] San Jose (CA)",[102]
Sun Country Airlines,Minneapolis/St. Paul,[103]
United Airlines,"Chicago–O'Hare, Denver, Houston–Intercontinental, Newark, San Francisco, Washington–Dulles",[104]
United Express,Los Angeles,[104]
WestJet,CalgarySeasonal: Vancouver,[105]
