Year  Total
1949,                                                                                                                          139  327         
 1950,                                                                                                                          193  373           
 1951,                                                                                                                         321  189           
 1952,                                                                                                                         390  427           
 1953,                                                                                                                         402  674            
 1954,                                                                                                                         426  600            
 1955 ,                                                                                                                        496  641           
 1956  ,                                                                                                                       582  120         
 1957   ,                                                                                                                      682  609           
 1958    ,                                                                                                                     698  543            
 1959     ,                                                                                                                    786  798          
 1960      ,                                                                                                                   878  669           
 1961       ,                                                                                                                   883  288            
 1962        ,                                                                                                                 951  655           
 1963         ,                                                                                                               1  152  065           
 1964          ,                                                                                                              1  319  855           
 1965           ,                                                                                                             1  632  833           
 1966            ,                                                                                                            2  048  034          
 1967             ,                                                                                                           2  486  213           
 1968              ,                                                                                                          2  958  053           
 1969               ,                                                                                                         3  320  576           
 1970                ,                                                                                                        3  341  391            
 1971                 ,                                                                                                       3  464  174            
 1972                  ,                                                                                                      3  915  395           
 1973                   ,                                                                                                     4  274  286            
 1974                    ,                                                                                                    4  410  972            
 1975                     ,                                                                                                   4  490  668            
 1976                      ,                                                                                                  4  912  368           
 1977                       ,                                                                                                 5  447  648          
 1978                        ,                                                                                                6  185  583           
 1979                         ,                                                                                               6  541  820            
 1980                          ,                                                                                              5  213  356           
 1981                           ,                                                                                             5  022  152            
 1982                            ,                                                                                            5  630  343           
 1983                             ,                                                                                           6  547  439           
 1984                              ,                                                                                          7  173  272            
 1985                               ,                                                                                         7  937  806           
 1986                                ,                                                                                        9  084  438           
 1987,   9  801  030       
 1988,   10  748  729         
 1989 ,  11  111  080 
 1990  ,       10  937  026       
 1991   ,     11  185  920       
 1992    ,    11  759  091       
 1993     ,      11  817  706       
 1994      ,   12  681  985       
 1995       , 12  908  395       
 1996,          13  461  361       
 1997 ,       13  900  712       
 1998  ,           14  340  447       
 1999   ,            14  971  261       
2000  , 15  746  445      
2001,   14  942  061       
2002 ,  14  731  518     
2003  , 15  304  975       
2004   ,16  517  153       
2005,   17  569  355       
2006 ,  17  673  483       
2007  , 18  673  441      
2008   ,18  419  621       
2009,   17  316  835      
2010 ,  17  205  100       
2011  , 17  307  916       
2012   ,17  682  275        
2013,   18  100  313       
 2014,       19  019  654       
 2015 ,      20  322  360      
 2016    ,   20  969  022     
 2017  ,     22  369  589       
2018  , 24273901     
  
